Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\lambda_7650(X)  AntiPart A_\lambda_7800(X)  to  AntiPart s_del_8973(X)^(*)  s_eps_3930(X) : Vertex V_0:A(X_2), s(X_4), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_3),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\sigma_10595*gamma_{%\rho_8435,%eta_12208,%eta_12241}*gamma_{%\rho_8437,%eta_12242,%del_8935}*gamma_{+%\sigma_10595,%eta_12241,%eta_12242}*A_{l_2503,+%\rho_8435}(p_2)*A_{k_2503,+%\rho_8437}(p_1)*s_{i_2505,%del_8935}(p_3)_v*s_{j_2505,%eta_12208}(p_4)_u^(*) + (-2)*p_4_%\rho_8435*gamma_{%\rho_8437,%eta_12214,%del_8938}*A_{l_2503,+%\rho_8435}(p_2)*A_{k_2503,+%\rho_8437}(p_1)*s_{i_2505,%del_8938}(p_3)_v*s_{j_2505,%eta_12214}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  A_\lambda_8021(X)  to  s_gam_15643(X)  AntiPart s_del_9243(X)^(*) : Vertex V_1:A(X_2), AntiPart s(X_4),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_3), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\nu_9034*gamma_{+%\nu_9034,%gam_15572,%gam_15573}*gamma_{%\rho_8742,%gam_15539,%gam_15572}*gamma_{%\rho_8744,%gam_15573,%del_9175}*A_{k_2537,+%\rho_8742}(p_1)*A_{l_2537,+%\rho_8744}(p_2)*s_{i_2539,%gam_15539}(p_3)_u^(*)*s_{j_2539,%del_9175}(p_4)_v + (-2)*p_4_%\rho_8744*gamma_{%\rho_8742,%gam_15545,%del_9178}*A_{k_2537,+%\rho_8742}(p_1)*A_{l_2537,+%\rho_8744}(p_2)*s_{i_2539,%gam_15545}(p_3)_u^(*)*s_{j_2539,%del_9178}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  A_\lambda_8021(X)  to  s_gam_15643(X)  AntiPart s_del_9243(X)^(*) : Vertex V_0:A(X_2), s(X_3), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_4),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\mu_7538*gamma_{+%\mu_7538,%gam_15628,%gam_15629}*gamma_{%\rho_8783,%gam_15589,%gam_15628}*gamma_{%\rho_8785,%gam_15629,%del_9204}*A_{k_2537,+%\rho_8785}(p_1)*A_{l_2537,+%\rho_8783}(p_2)*s_{i_2539,%gam_15589}(p_3)_u^(*)*s_{j_2539,%del_9204}(p_4)_v + (-2)*p_3_%\rho_8783*gamma_{%\rho_8785,%gam_15595,%del_9207}*A_{k_2537,+%\rho_8785}(p_1)*A_{l_2537,+%\rho_8783}(p_2)*s_{i_2539,%gam_15595}(p_3)_u^(*)*s_{j_2539,%del_9207}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  A_\lambda_8021(X)  to  AntiPart s_alpha_6293(X)^(*)  s_beta_3303(X) : Vertex V_1:A(X_2), AntiPart s(X_3),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_4), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\mu_7625*gamma_{+%\mu_7625,%eta_12824,%eta_12825}*gamma_{%\rho_9090,%eta_12825,%alpha_6200}*gamma_{%\sigma_10755,%eta_12795,%eta_12824}*A_{l_2567,+%\rho_9090}(p_2)*A_{k_2567,+%\sigma_10755}(p_1)*s_{i_2569,%alpha_6200}(p_3)_v*s_{j_2569,%eta_12795}(p_4)_u^(*) + (-2)*p_3_%\rho_9090*gamma_{%\sigma_10755,%eta_12801,%alpha_6203}*A_{l_2567,+%\rho_9090}(p_2)*A_{k_2567,+%\sigma_10755}(p_1)*s_{i_2569,%alpha_6203}(p_3)_v*s_{j_2569,%eta_12801}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  A_\lambda_8021(X)  to  AntiPart s_alpha_6293(X)^(*)  s_beta_3303(X) : Vertex V_0:A(X_2), s(X_4), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_3),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\tau_9692*gamma_{%\rho_9117,%eta_12846,%eta_12881}*gamma_{%\sigma_10791,%eta_12882,%alpha_6243}*gamma_{+%\tau_9692,%eta_12881,%eta_12882}*A_{l_2567,+%\rho_9117}(p_2)*A_{k_2567,+%\sigma_10791}(p_1)*s_{i_2569,%alpha_6243}(p_3)_v*s_{j_2569,%eta_12846}(p_4)_u^(*) + (-2)*p_4_%\rho_9117*gamma_{%\sigma_10791,%eta_12854,%alpha_6246}*A_{l_2567,+%\rho_9117}(p_2)*A_{k_2567,+%\sigma_10791}(p_1)*s_{i_2569,%alpha_6246}(p_3)_v*s_{j_2569,%eta_12854}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  AntiPart A_\sigma_11029(X)  to  s_del_9517(X)  AntiPart s_eps_4140(X)^(*) : Vertex V_0:A(X_2), s(X_3), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_4),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\nu_9204*gamma_{+%\nu_9204,%eta_13312,%eta_13313}*gamma_{%\rho_9326,%eta_13275,%eta_13312}*gamma_{%\sigma_10958,%eta_13313,%eps_4074}*A_{l_2601,+%\rho_9326}(p_2)*A_{k_2601,+%\sigma_10958}(p_1)*s_{i_2603,%eta_13275}(p_3)_u^(*)*s_{j_2603,%eps_4074}(p_4)_v + (-2)*p_3_%\rho_9326*gamma_{%\sigma_10958,%eta_13283,%eps_4077}*A_{l_2601,+%\rho_9326}(p_2)*A_{k_2601,+%\sigma_10958}(p_1)*s_{i_2603,%eta_13283}(p_3)_u^(*)*s_{j_2603,%eps_4077}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  AntiPart A_\sigma_11029(X)  to  s_del_9517(X)  AntiPart s_eps_4140(X)^(*) : Vertex V_1:A(X_2), AntiPart s(X_4),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_3), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\mu_7745*gamma_{+%\mu_7745,%eta_13363,%eta_13364}*gamma_{%\rho_9351,%eta_13364,%eps_4110}*gamma_{%\sigma_10994,%eta_13334,%eta_13363}*A_{l_2601,+%\rho_9351}(p_2)*A_{k_2601,+%\sigma_10994}(p_1)*s_{i_2603,%eta_13334}(p_3)_u^(*)*s_{j_2603,%eps_4110}(p_4)_v + (-2)*p_4_%\rho_9351*gamma_{%\sigma_10994,%eta_13340,%eps_4113}*A_{l_2601,+%\rho_9351}(p_2)*A_{k_2601,+%\sigma_10994}(p_1)*s_{i_2603,%eta_13340}(p_3)_u^(*)*s_{j_2603,%eps_4113}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  AntiPart A_\sigma_11029(X)  to  AntiPart s_del_9667(X)^(*)  s_eps_4328(X) : Vertex V_0:A(X_2), s(X_4), AntiPart  OffShell s(V_0), Vertex V_1:A(X_1), AntiPart s(X_3),  OffShell s(V_1), : -1/18*i*e^2*(p_2_%\sigma_11154*gamma_{%\sigma_11150,%eta_13805,%del_9602}*gamma_{%\sigma_11152,%eta_13779,%eta_13804}*gamma_{+%\sigma_11154,%eta_13804,%eta_13805}*A_{l_2631,+%\sigma_11152}(p_2)*A_{k_2631,+%\sigma_11150}(p_1)*s_{i_2633,%del_9602}(p_3)_v*s_{j_2633,%eta_13779}(p_4)_u^(*) + (-2)*p_4_%\sigma_11152*gamma_{%\sigma_11150,%eta_13787,%del_9605}*A_{l_2631,+%\sigma_11152}(p_2)*A_{k_2631,+%\sigma_11150}(p_1)*s_{i_2633,%del_9605}(p_3)_v*s_{j_2633,%eta_13787}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -2/81*i*e^2*(i*e^2*m_s^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\sigma_10710(X)  AntiPart A_\sigma_11029(X)  to  AntiPart s_del_9667(X)^(*)  s_eps_4328(X) : Vertex V_1:A(X_2), AntiPart s(X_3),  OffShell s(V_1), Vertex V_0:A(X_1), s(X_4), AntiPart  OffShell s(V_0), : 1/18*i*e^2*(p_2_%\rho_9562*gamma_{+%\rho_9562,%eta_13853,%eta_13854}*gamma_{%\sigma_11212,%eta_13824,%eta_13853}*gamma_{%\sigma_11214,%eta_13854,%del_9634}*A_{l_2631,+%\sigma_11214}(p_2)*A_{k_2631,+%\sigma_11212}(p_1)*s_{i_2633,%del_9634}(p_3)_v*s_{j_2633,%eta_13824}(p_4)_u^(*) + (-2)*p_3_%\sigma_11214*gamma_{%\sigma_11212,%eta_13830,%del_9637}*A_{l_2631,+%\sigma_11214}(p_2)*A_{k_2631,+%\sigma_11212}(p_1)*s_{i_2633,%del_9637}(p_3)_v*s_{j_2633,%eta_13830}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/324*i*e^2*(i*e^2*m_s^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_s^2*(m_s^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  A_\sigma_12047(X)  to  tt_gam_16427(X)  AntiPart tt_del_10039(X)^(*) : Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_4),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\mu_8260*gamma_{+%\mu_8260,%gam_16352,%gam_16353}*gamma_{%\sigma_11948,%gam_16313,%gam_16352}*gamma_{%\sigma_11950,%gam_16353,%del_9961}*A_{k_2793,+%\sigma_11950}(p_1)*A_{l_2793,+%\sigma_11948}(p_2)*tt_{i_2795,%gam_16313}(p_3)_u^(*)*tt_{j_2795,%del_9961}(p_4)_v + (-2)*p_3_%\sigma_11948*gamma_{%\sigma_11950,%gam_16319,%del_9964}*A_{k_2793,+%\sigma_11950}(p_1)*A_{l_2793,+%\sigma_11948}(p_2)*tt_{i_2795,%gam_16319}(p_3)_u^(*)*tt_{j_2795,%del_9964}(p_4)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  A_\sigma_12047(X)  to  tt_gam_16427(X)  AntiPart tt_del_10039(X)^(*) : Vertex V_1:A(X_2), AntiPart tt(X_4),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_3), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\tau_10294*gamma_{%\sigma_11999,%gam_16375,%gam_16406}*gamma_{%\sigma_12001,%gam_16407,%del_10001}*gamma_{+%\tau_10294,%gam_16406,%gam_16407}*A_{k_2793,+%\sigma_11999}(p_1)*A_{l_2793,+%\sigma_12001}(p_2)*tt_{i_2795,%gam_16375}(p_3)_u^(*)*tt_{j_2795,%del_10001}(p_4)_v + (-2)*p_4_%\sigma_12001*gamma_{%\sigma_11999,%gam_16381,%del_10004}*A_{k_2793,+%\sigma_11999}(p_1)*A_{l_2793,+%\sigma_12001}(p_2)*tt_{i_2795,%gam_16381}(p_3)_u^(*)*tt_{j_2795,%del_10004}(p_4)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  A_\sigma_12047(X)  to  AntiPart tt_alpha_6857(X)^(*)  tt_beta_3529(X) : Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_4), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\tau_10387*gamma_{%\sigma_12295,%gam_16824,%gam_16853}*gamma_{%\sigma_12297,%gam_16854,%del_10285}*gamma_{+%\tau_10387,%gam_16853,%gam_16854}*A_{l_2823,+%\sigma_12297}(p_2)*A_{k_2823,+%\sigma_12295}(p_1)*tt_{j_2825,%gam_16824}(p_4)_u^(*)*tt_{i_2825,%del_10285}(p_3)_v + (-2)*p_3_%\sigma_12297*gamma_{%\sigma_12295,%gam_16832,%del_10290}*A_{l_2823,+%\sigma_12297}(p_2)*A_{k_2823,+%\sigma_12295}(p_1)*tt_{j_2825,%gam_16832}(p_4)_u^(*)*tt_{i_2825,%del_10290}(p_3)_v)/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  A_\sigma_12047(X)  to  AntiPart tt_alpha_6857(X)^(*)  tt_beta_3529(X) : Vertex V_0:A(X_2), tt(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_3),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\lambda_8713*gamma_{+%\lambda_8713,%gam_16908,%gam_16909}*gamma_{%\sigma_12344,%gam_16873,%gam_16908}*gamma_{%\sigma_12346,%gam_16909,%del_10314}*A_{l_2823,+%\sigma_12344}(p_2)*A_{k_2823,+%\sigma_12346}(p_1)*tt_{j_2825,%gam_16873}(p_4)_u^(*)*tt_{i_2825,%del_10314}(p_3)_v + (-2)*p_4_%\sigma_12344*gamma_{%\sigma_12346,%gam_16879,%del_10317}*A_{l_2823,+%\sigma_12344}(p_2)*A_{k_2823,+%\sigma_12346}(p_1)*tt_{j_2825,%gam_16879}(p_4)_u^(*)*tt_{i_2825,%del_10317}(p_3)_v)/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  AntiPart A_\rho_10190(X)  to  tt_eta_14412(X)  AntiPart tt_alpha_6951(X)^(*) : Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_4),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\mu_8434*gamma_{+%\mu_8434,%gam_17369,%gam_17370}*gamma_{%\sigma_12666,%gam_17332,%gam_17369}*gamma_{%\sigma_12668,%gam_17370,%del_10600}*A_{l_2857,+%\sigma_12666}(p_2)*A_{k_2857,+%\sigma_12668}(p_1)*tt_{j_2859,%del_10600}(p_4)_v*tt_{i_2859,%gam_17332}(p_3)_u^(*) + (-2)*p_3_%\sigma_12666*gamma_{%\sigma_12668,%gam_17340,%del_10603}*A_{l_2857,+%\sigma_12666}(p_2)*A_{k_2857,+%\sigma_12668}(p_1)*tt_{j_2859,%del_10603}(p_4)_v*tt_{i_2859,%gam_17340}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  AntiPart A_\rho_10190(X)  to  tt_eta_14412(X)  AntiPart tt_alpha_6951(X)^(*) : Vertex V_1:A(X_2), AntiPart tt(X_4),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_3), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\tau_10507*gamma_{%\sigma_12717,%gam_17391,%gam_17418}*gamma_{%\sigma_12719,%gam_17419,%del_10635}*gamma_{+%\tau_10507,%gam_17418,%gam_17419}*A_{l_2857,+%\sigma_12719}(p_2)*A_{k_2857,+%\sigma_12717}(p_1)*tt_{j_2859,%del_10635}(p_4)_v*tt_{i_2859,%gam_17391}(p_3)_u^(*) + (-2)*p_4_%\sigma_12719*gamma_{%\sigma_12717,%gam_17397,%del_10640}*A_{l_2857,+%\sigma_12719}(p_2)*A_{k_2857,+%\sigma_12717}(p_1)*tt_{j_2859,%del_10640}(p_4)_v*tt_{i_2859,%gam_17397}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  AntiPart A_\rho_10190(X)  to  AntiPart tt_eta_14546(X)^(*)  tt_alpha_7031(X) : Vertex V_1:A(X_2), AntiPart tt(X_3),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_4), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\rho_10236*gamma_{+%\rho_10236,%gam_17859,%gam_17860}*gamma_{%\sigma_13012,%gam_17828,%gam_17859}*gamma_{%\sigma_13014,%gam_17860,%eta_14484}*A_{k_2887,+%\sigma_13012}(p_1)*A_{l_2887,+%\sigma_13014}(p_2)*tt_{i_2889,%eta_14484}(p_3)_v*tt_{j_2889,%gam_17828}(p_4)_u^(*) + (-2)*p_3_%\sigma_13014*gamma_{%\sigma_13012,%gam_17836,%eta_14487}*A_{k_2887,+%\sigma_13012}(p_1)*A_{l_2887,+%\sigma_13014}(p_2)*tt_{i_2889,%eta_14487}(p_3)_v*tt_{j_2889,%gam_17836}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_10051(X)  AntiPart A_\rho_10190(X)  to  AntiPart tt_eta_14546(X)^(*)  tt_alpha_7031(X) : Vertex V_0:A(X_2), tt(X_4), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_3),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\nu_9936*gamma_{+%\nu_9936,%gam_17914,%gam_17915}*gamma_{%\sigma_13048,%gam_17879,%gam_17914}*gamma_{%\sigma_13050,%gam_17915,%eta_14513}*A_{k_2887,+%\sigma_13050}(p_1)*A_{l_2887,+%\sigma_13048}(p_2)*tt_{i_2889,%eta_14513}(p_3)_v*tt_{j_2889,%gam_17879}(p_4)_u^(*) + (-2)*p_4_%\sigma_13048*gamma_{%\sigma_13050,%gam_17885,%eta_14516}*A_{k_2887,+%\sigma_13050}(p_1)*A_{l_2887,+%\sigma_13048}(p_2)*tt_{i_2889,%eta_14516}(p_3)_v*tt_{j_2889,%gam_17885}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  tt_gam_18457(X)  AntiPart tt_del_11137(X)^(*) : Vertex V_1:A(X_2), AntiPart tt(X_4),  OffShell tt(V_1), Vertex V_0:A(X_1), tt(X_3), AntiPart  OffShell tt(V_0), : 2/9*i*e^2*(p_2_%\tau_10667*gamma_{%\sigma_13359,%gam_18377,%del_11050}*gamma_{%\tau_10665,%gam_18343,%gam_18376}*gamma_{+%\tau_10667,%gam_18376,%gam_18377}*A_{k_2921,+%\tau_10665}(p_1)*A_{l_2921,+%\sigma_13359}(p_2)*tt_{j_2923,%del_11050}(p_4)_v*tt_{i_2923,%gam_18343}(p_3)_u^(*) + (-2)*p_4_%\sigma_13359*gamma_{%\tau_10665,%gam_18349,%del_11053}*A_{k_2921,+%\tau_10665}(p_1)*A_{l_2921,+%\sigma_13359}(p_2)*tt_{j_2923,%del_11053}(p_4)_v*tt_{i_2923,%gam_18349}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + -32/81*i*e^2*(i*e^2*m_tt^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_10040(X)  A_\rho_10395(X)  to  tt_gam_18457(X)  AntiPart tt_del_11137(X)^(*) : Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_4),  OffShell tt(V_1), : -2/9*i*e^2*(p_2_%\lambda_8953*gamma_{+%\lambda_8953,%gam_18436,%gam_18437}*gamma_{%\sigma_13387,%gam_18397,%gam_18436}*gamma_{%\tau_10710,%gam_18437,%del_11092}*A_{k_2921,+%\tau_10710}(p_1)*A_{l_2921,+%\sigma_13387}(p_2)*tt_{j_2923,%del_11092}(p_4)_v*tt_{i_2923,%gam_18397}(p_3)_u^(*) + (-2)*p_3_%\sigma_13387*gamma_{%\tau_10710,%gam_18403,%del_11095}*A_{k_2921,+%\tau_10710}(p_1)*A_{l_2921,+%\sigma_13387}(p_2)*tt_{j_2923,%del_11095}(p_4)_v*tt_{i_2923,%gam_18403}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
